ID,iri_mean,iri_med,iri_min,iri_max,iri_stdev,speed_mean,speed_med,VPROMMS_ID,length,Social_Cost_1,Isolated_Trips_1,CRIT_SCORE_1,Social_Cost_2,Isolated_Trips_2,CRIT_SCORE_2
108,6.83,6.8,6.27,7.47,0.471593044902,26.3428571429,25.25,212TH00030,0.752001405122,0.0,0.0,0.0,0.0,0.0,0.0
109,,,,,,,,212YD00027,0.0122523107673,590671523.466,590671.523466,0.403113562685,170700000.0,17070.0,0.279318639242
110,3.17,3.17,2.6,3.74,0.806101730553,28.165,28.165,214YD00015,0.350630503804,0.0,0.0,0.0,0.0,0.0,0.0
111,6.12,6.12,5.7,6.54,0.593969696197,25.345,25.345,Input VPROMMS: 212YD00027 (50.0 pct); 212TH00027 (50.0 pct); ,0.297128413387,471060.011844,0.0,0.000257186164654,13613.3097377,0.0,1.78205092045e-05
112,8.23833333333,7.8,3.92,14.34,2.80736346465,25.8025925926,25.025,Input VPROMMS: 214YD00016 (25.63 pct); 214YD00035 (25.13 pct); 214YD00013 (24.62 pct); 214YD00055 (24.12 pct); 214YD00015 (0.5 pct); ,1.75255840537,0.0,0.0,0.0,0.0,0.0,0.0
113,9.86166666667,8.875,7.56,13.45,2.5095451115,22.75,23.56,Input VPROMMS: 214YD00035 (26.0 pct); 214YD00016 (24.0 pct); 214YD00055 (24.0 pct); 214YD00013 (22.0 pct); 212TH00027 (4.0 pct); ,0.348498338909,0.0,0.0,0.0,0.0,0.0,0.0
114,,,,,,,,,0.00118713918284,5437436.71866,0.0,0.0029686949859,85679.0076487,0.0,0.000112158143307
115,7.96333333333,7.78,7.65,8.46,0.435009578439,30.8766666667,31.1,Input VPROMMS: 214YD00038 (70.0 pct); 214YD00033 (20.0 pct); 213YD00011 (10.0 pct); ,0.286610931977,0.0,0.0,0.0,0.0,0.0,0.0
116,3.625,3.065,1.7,7.32,1.79522346039,27.24,25.515,Input VPROMMS: 214YD00033 (46.0 pct); 213YD00011 (24.0 pct); 212TH00030 (14.0 pct); Default Ro (10.0 pct); transit fr (4.0 pct); 214YD00038 (2.0 pct); ,0.839958101475,32344791.5311,0.0,0.0176593908871,579291.315737,0.0,0.000758321556117
117,,,,,,,,return_1,0.423659706092,0.0,0.0,0.0,0.0,0.0,0.0
118,6.00916666667,5.7,3.31,10.92,2.12541528919,34.2666666667,35.32,212TH00008,0.296794297054,1333748.54881,0.0,0.000728191027167,125962.167558,0.0,0.000164890831814
119,15.985,9.92,7.18,36.92,14.0170788683,34.2475,33.86,Input VPROMMS: 212TH00024 (66.67 pct); 212TH00008 (29.17 pct); 214YD00016 (4.17 pct); ,0.802898442402,174403.26273,0.0,9.52195158088e-05,0.0,0.0,0.0
120,7.06588235294,6.93,3.27,10.44,2.10680166017,31.1023529412,30.1,Input VPROMMS: 212YD00027 (40.0 pct); 212TH00027 (36.67 pct); 213YD00001 (23.33 pct); ,0.986965615574,590671523.466,590671.523466,0.403113562685,170700000.0,17070.0,0.279318639242
121,8.72307692308,8.85,4.18,11.11,1.61118168133,23.5092307692,23.86,Input VPROMMS: 214YD00016 (31.54 pct); 214YD00055 (30.0 pct); 214YD00029 (28.46 pct); 214YD00035 (9.23 pct); 213YD00001 (0.77 pct); ,1.12038088199,226779.627875,0.0,0.000123815610003,0.0,0.0,0.0
122,6.46,6.34,3.96,10.0,1.64701401707,33.937,34.31,212TH00008,0.472329201453,604373.094357,0.0,0.00032997154131,92082.8444077,0.0,0.000120541088682
123,3.45,2.92,2.6,5.36,1.28351081024,29.2225,29.265,Input VPROMMS: return_1 (56.0 pct); Default Ro (44.0 pct); ,0.420977393694,32344791.5311,0.0,0.0176593908871,579291.315737,0.0,0.000758321556117
124,4.59,5.16,2.53,6.76,1.41572517735,27.8526315789,28.43,Input VPROMMS: 212TH00027 (29.76 pct); 213YD00001 (28.57 pct); 212YD00027 (28.57 pct); 212TH00008 (8.33 pct); 214YD00016 (2.38 pct); 214YD00055 (2.38 pct); ,0.91536197088,1945349.05602,0.0,0.00106210854254,75720.4193207,0.0,9.9121848799e-05
125,5.03875,4.985,3.85,6.48,0.759651000695,29.69375,29.07,Input VPROMMS: 214YD00036 (50.0 pct); 214YD00004 (50.0 pct); ,0.46368123624,,,,,,
126,,,,,,,,214YD00043,0.346511986999,0.0,0.0,0.0,0.0,0.0,0.0
127,6.40761904762,6.0,3.69,11.86,2.02778920197,31.0457142857,30.3,212TH00008,0.329882021767,604373.094357,0.0,0.00032997154131,92082.8444077,0.0,0.000120541088682
128,,,,,,,,214YD00035,0.70703530214,0.0,0.0,0.0,0.0,0.0,0.0
129,9.55,9.55,9.55,9.55,,30.58,30.58,Input VPROMMS: 214YD00035 (45.45 pct); 212TH00024 (36.36 pct); 214YD00053 (9.09 pct); 214YD00055 (9.09 pct); ,0.186555843562,245709.020866,0.0,0.000134150552177,0.0,0.0,0.0
130,2.85,2.85,2.85,2.85,,31.3,31.3,Input VPROMMS: 214YD00043 (50.0 pct); Default Ro (33.33 pct); return_1 (16.67 pct); ,0.0660066398995,32344791.5311,0.0,0.0176593908871,579291.315737,0.0,0.000758321556117
131,3.0,3.0,3.0,3.0,,28.55,28.55,Input VPROMMS: Default Ro (44.83 pct); return_1 (44.83 pct); 214YD00042 (10.34 pct); ,0.880154117893,4184006.27054,0.0,0.00228435549304,67809.4475132,0.0,8.87659876141e-05
132,9.375,9.375,9.31,9.44,0.0919238815543,21.54,21.54,214YD00043,0.378701959546,0.0,0.0,0.0,0.0,0.0,0.0
133,8.085,6.945,5.47,12.71,2.4362513393,24.1,22.4,Input VPROMMS: 214YD00054 (54.74 pct); 214YD00053 (25.26 pct); Default Ro (13.68 pct); 214YD00016 (4.21 pct); 214YD00029 (2.11 pct); ,0.778492718163,661563.116681,0.0,0.00036119576355,39356.1027172,0.0,5.1519123875e-05
134,10.5595238095,8.78,5.85,46.12,8.29814285017,31.2476190476,31.31,Input VPROMMS: 212TH00024 (64.29 pct); 214YD00081 (20.54 pct); 214YD00082 (13.39 pct); 214YD00053 (0.89 pct); 214YD00055 (0.89 pct); ,3.23205600989,3984698.56295,0.0,0.00217553881658,249035.898636,0.0,0.00032600055456
