,Junction,points
215,POINT (105.6946714176493 19.9551536199373),3.0
216,POINT (105.575017923074 19.99554276237589),3.0
217,POINT (105.6864437341899 20.00374598145474),3.0
218,POINT (105.5502183702347 20.00142509120557),3.0
219,POINT (105.6004670319494 19.98182825283602),3.0
220,POINT (105.5648059311954 20.06267614303452),3.0
221,POINT (105.5694473260668 19.96429821055999),3.0
222,POINT (105.6167689728781 20.01519547653586),3.0
223,POINT (105.6868839838645 20.00113272509681),3.0
224,POINT (105.6622494720992 19.96221853963299),3.0
225,POINT (105.5320607349481 20.0383126445937),3.0
226,POINT (105.6157778345543 20.01168044025323),3.0
227,POINT (105.5917017790768 19.97753578187625),3.0
228,POINT (105.685909491121 19.96127420849511),3.0
229,POINT (105.5776432520754 20.01310417336045),3.0
230,POINT (105.6085906337261 20.01463258191109),3.0
231,POINT (105.6516185341157 19.96687086417834),3.0
232,POINT (105.528256488846 20.02879502490445),3.0
233,POINT (105.6745144628813 20.00675101776393),3.0
234,POINT (105.5728185893788 20.0341878576201),3.0
235,POINT (105.5901684564313 19.99287631054212),3.0
236,POINT (105.6108948312432 20.0105104330321),3.0
237,POINT (105.6293803824398 20.00853192179477),3.0
238,POINT (105.671442383945 19.99425349036836),3.0
239,POINT (105.5587960846842 20.01871486911362),3.0
240,POINT (105.6026494906975 20.01617978988152),3.0
241,POINT (105.6577426006772 19.98480500743594),3.0
242,POINT (105.5904602052048 20.01375724325724),3.0
243,POINT (105.6859093525392 19.96127427558809),3.0
244,POINT (105.6898439029891 19.95701899078361),3.0
245,POINT (105.5876349343998 19.97360067388192),3.0
246,POINT (105.6661813152822 19.96086186555111),3.0
247,POINT (105.5697419103955 20.03229677701003),3.0
248,POINT (105.5800992051747 20.06044857195995),3.0
249,POINT (105.5929479669773 19.98419600520978),3.0
250,POINT (105.5988379078585 20.01998120041262),3.0
251,POINT (105.5543646062198 20.0748290215945),3.0
252,POINT (105.5754805686003 20.01003213772818),3.0
253,POINT (105.5708581481186 20.03286417361203),3.0
254,POINT (105.7371267798492 19.93577201236381),3.0
255,POINT (105.734655191342 19.95156695230169),3.0
256,POINT (105.564800657287 20.06311777991587),3.0
257,POINT (105.7510889673288 19.94776479722578),3.0
258,POINT (105.6745144802015 20.0067510500233),3.0
259,POINT (105.5710081433552 20.0331620937101),3.0
260,POINT (105.5474816367034 20.02871001221229),3.0
261,POINT (105.5469150296773 20.01653823292224),3.0
262,POINT (105.5695442572712 20.00464302866772),3.0
263,POINT (105.5467280098592 20.00297066537637),3.0
264,POINT (105.5833632407251 19.96516889594162),3.0
265,POINT (105.5904601536009 20.01375731610111),3.0
266,POINT (105.6868840025478 20.0011327675239),3.0
267,POINT (105.7515059224518 19.9503870810996),3.0
268,POINT (105.5833416871843 19.97794003128923),3.0
269,POINT (105.6907664867354 19.95964844763201),3.0
270,POINT (105.5728185593806 20.03418784824995),3.0
271,POINT (105.7168377678815 19.98969200105983),3.0
272,POINT (105.5894739059188 20.02413016585663),3.0
273,POINT (105.6491311415671 19.96419284965194),3.0
274,POINT (105.56103663067 20.01539104766655),3.0
275,POINT (105.591033801858 19.97468221823172),3.0
276,POINT (105.6513268627927 19.98967991000557),3.0
277,POINT (105.4695039573406 20.03761637120307),3.0
278,POINT (105.5857109711003 20.02424134995595),3.0
279,POINT (105.5468713218887 20.00675125902982),3.0
280,POINT (105.5730016543716 20.01016508766283),3.0
281,POINT (105.7102817282067 19.99211227805794),3.0
282,POINT (105.5833630774198 19.96516888957541),3.0
283,POINT (105.7139248123601 19.93637092526328),3.0
284,POINT (105.5626506435351 20.07129316781922),3.0
285,POINT (105.6349350892032 19.98918994509346),3.0
286,POINT (105.5799635597428 20.04289864147912),3.0
287,POINT (105.5475066770068 19.99762338408028),3.0
288,POINT (105.632590889104 20.00292030439368),3.0
289,POINT (105.6913960660756 19.96099336803703),3.0
290,POINT (105.7382848888687 19.9386918356699),3.0
291,POINT (105.694212594714 19.99686569491836),3.0
292,POINT (105.5918768908182 20.02036584841299),3.0
293,POINT (105.6159752478194 19.98698878350428),3.0
294,POINT (105.5597590442673 20.07219036053315),3.0
295,POINT (105.5995808494018 20.01923147071615),3.0
296,POINT (105.5685550276684 20.00552844375077),3.0
297,POINT (105.6717184754419 19.99595164297526),3.0
298,POINT (105.5627523575385 20.0351321711024),3.0
299,POINT (105.7143191470898 19.98951079392516),3.0
300,POINT (105.5703355488084 20.01482996797463),3.0
301,POINT (105.554364462838 20.07482908651489),3.0
302,POINT (105.5639755396652 20.02591561100986),3.0
303,POINT (105.5642455776934 19.99268332269207),3.0
304,POINT (105.7373510247574 19.93942143370972),3.0
305,POINT (105.5973539536062 20.02188718536401),3.0
306,POINT (105.5595666702474 20.06825535707615),3.0
307,POINT (105.5677626897666 19.96158977724809),3.0
308,POINT (105.6645694949369 19.95648873473426),3.0
309,POINT (105.55908614664 20.06812360453672),3.0
310,POINT (105.5963376772098 19.96864632338512),3.0
311,POINT (105.6325953770667 20.00298264900374),3.0
312,POINT (105.6862746926217 19.99762926124433),3.0
313,POINT (105.581583458059 20.01453182417285),3.0
314,POINT (105.7473441492898 19.9541446828723),3.0
315,POINT (105.6331274016753 20.00289879061171),3.0
316,POINT (105.6159752469903 19.98698877102633),3.0
317,POINT (105.7375364543296 19.95000425229562),3.0
318,POINT (105.5593342816944 20.06822593027511),3.0
319,POINT (105.4695039461728 20.03761637726855),3.0
320,POINT (105.7346551529309 19.95156693714867),3.0
321,POINT (105.7371267828045 19.93577201134372),3.0
322,POINT (105.6513268585818 19.98967990707178),3.0
323,POINT (105.7381966779854 19.95015937904335),3.0
324,POINT (105.5997580358194 20.01884056878026),3.0
325,POINT (105.7380510185502 19.93565947872212),3.0
326,POINT (105.5485406472159 20.02826000548516),3.0
327,POINT (105.7263298784191 19.93789724144558),3.0
328,POINT (105.5689468397553 20.02125921060728),3.0
329,POINT (105.5910880441301 20.02066890301062),3.0
330,POINT (105.5640014578795 20.02593326338441),3.0
331,POINT (105.5982560422679 19.98368953636719),3.0
332,POINT (105.6538844172436 20.00141319160223),3.0
333,POINT (105.5841647788627 20.02143534886055),3.0
334,POINT (105.5837988309994 19.96622644595395),3.0
335,POINT (105.5775247150623 20.01296504855328),3.0
336,POINT (105.5636399337521 19.97550220315268),3.0
337,POINT (105.5282992692476 20.02846814825345),3.0
338,POINT (105.7153813923919 19.99225549964568),3.0
339,POINT (105.5769593238505 20.01028179773217),3.0
340,POINT (105.649166428204 19.97288662494462),3.0
341,POINT (105.5701845043619 20.03145053368721),3.0
342,POINT (105.6478980125102 19.97272580950894),3.0
343,POINT (105.5722996169232 19.97512128452618),3.0
344,POINT (105.5809590033895 19.97743300955652),3.0
345,POINT (105.5206602430848 20.02169944066674),3.0
346,POINT (105.577056618626 20.05482258957867),3.0
347,POINT (105.5722463466142 19.97552521405194),3.0
348,POINT (105.6864437798075 20.0037460206035),3.0
349,POINT (105.5910879715492 20.02066889469306),3.0
350,POINT (105.5718501433023 20.03377857046571),3.0
351,POINT (105.5698944983183 20.00157974005743),3.0
352,POINT (105.5269492633989 20.00922467557161),3.0
353,POINT (105.6745145196471 20.00675109297964),3.0
354,POINT (105.5700587879475 20.03104206553396),3.0
355,POINT (105.6331115801654 20.0028652490757),3.0
356,POINT (105.5697419590558 20.03229672952525),3.0
357,POINT (105.5717743429471 20.00972284086335),3.0
358,POINT (105.5135394885707 20.00013608571062),3.0
359,POINT (105.575017883043 19.99554284052617),3.0
360,POINT (105.6648413820436 19.96173234425803),3.0
361,POINT (105.5730514923349 20.00817991327399),3.0
362,POINT (105.710281840155 19.9921121132538),3.0
363,POINT (105.6572290038351 19.99271138985032),3.0
364,POINT (105.5894738832925 20.02413018185395),3.0
365,POINT (105.5492966179619 20.0121282889411),3.0
366,POINT (105.5769592046465 20.01028193425949),3.0
367,POINT (105.5651265126881 20.06968898582345),3.0
368,POINT (105.5686970837469 20.01012023208358),3.0
369,POINT (105.5695805004503 20.01338049874416),3.0
370,POINT (105.5397463540607 20.00926851084176),3.0
371,POINT (105.52098857265 20.02149206721804),3.0
372,POINT (105.5700433181527 19.97721570908631),3.0
373,POINT (105.5635138435724 19.98768428435268),3.0
374,POINT (105.6766951241114 19.9949668761492),3.0
375,POINT (105.6634661492003 19.9613682567323),3.0
376,POINT (105.7137398672901 19.93575053376387),3.0
377,POINT (105.6898218993937 19.9572040004886),3.0
378,POINT (105.6091536646121 20.01656854645655),3.0
379,POINT (105.5636401001859 19.97550215739737),3.0
380,POINT (105.6435790274986 19.99995832587718),3.0
381,POINT (105.6636445445735 19.99314385619365),3.0
382,POINT (105.5418258673257 20.03455365019457),3.0
383,POINT (105.6715019246518 19.99238196789161),3.0
384,POINT (105.6745146603694 20.00675118474403),3.0
385,POINT (105.54765117006 20.02638614110247),3.0
386,POINT (105.7361952677889 19.94985320971692),3.0
387,POINT (105.5773760140752 20.05554745672018),3.0
388,POINT (105.5474817315124 20.02870993592992),3.0
389,POINT (105.6663102908885 19.98294641316213),3.0
390,POINT (105.5323483385461 20.03799331933589),3.0
391,POINT (105.7136337041123 19.9925178519024),3.0
392,POINT (105.5467934137148 20.00639163718001),3.0
393,POINT (105.5773759482207 20.0555474269899),3.0
394,POINT (105.5563874237517 20.07346448962541),3.0
395,POINT (105.5527539798083 20.09208569998807),3.0
