,lines,shapely,length,start,end
2148,"LINESTRING (105.7559071879999 20.10607135722064, 105.7559286934064 20.1060586145484, 105.7559298428812 20.1060581114554)","LINESTRING (105.7559071879999 20.10607135722064, 105.7559286934064 20.1060586145484, 105.7559298428812 20.1060581114554)",2.78636964408,POINT (105.7559071879999 20.10607135722064),POINT (105.7559298428812 20.1060581114554)
2149,"LINESTRING (105.7561144150449 20.10732909004443, 105.7561238215909 20.10732510599802, 105.756134542678 20.10731897448819)","LINESTRING (105.7561144150449 20.10732909004443, 105.7561238215909 20.10732510599802, 105.756134542678 20.10731897448819)",2.38792011968,POINT (105.7561144150449 20.10732909004443),POINT (105.756134542678 20.10731897448819)
2151,"LINESTRING (105.7578812362657 20.09519372635158, 105.7578824047456 20.09518660813895, 105.7578843269887 20.09518010500026, 105.7578921787376 20.0951620003609)","LINESTRING (105.7578812362657 20.09519372635158, 105.7578824047456 20.09518660813895, 105.7578843269887 20.09518010500026, 105.7578921787376 20.0951620003609)",3.7097022502,POINT (105.7578812362657 20.09519372635158),POINT (105.7578921787376 20.0951620003609)
2153,"LINESTRING (105.7580633016298 20.09515326613418, 105.7580657754956 20.09516017882569)","LINESTRING (105.7580633016298 20.09515326613418, 105.7580657754956 20.09516017882569)",0.807565122389,POINT (105.7580633016298 20.09515326613418),POINT (105.7580657754956 20.09516017882569)
2155,"LINESTRING (105.7581615321425 20.12632389395895, 105.7581654427907 20.12631532458626)","LINESTRING (105.7581615321425 20.12632389395895, 105.7581654427907 20.12631532458626)",1.03272129261,POINT (105.7581615321425 20.12632389395895),POINT (105.7581654427907 20.12631532458626)
2157,"LINESTRING (105.7588964543878 20.08138230462835, 105.7589108616026 20.08139796596843, 105.758917558219 20.08140734110538)","LINESTRING (105.7588964543878 20.08138230462835, 105.7589108616026 20.08139796596843, 105.758917558219 20.08140734110538)",3.54808970066,POINT (105.7588964543878 20.08138230462835),POINT (105.758917558219 20.08140734110538)
2159,"LINESTRING (105.7589157483263 20.09483150016388, 105.7589120891753 20.09482075695447, 105.7589108779074 20.09481487524301)","LINESTRING (105.7589157483263 20.09483150016388, 105.7589120891753 20.09482075695447, 105.7589108779074 20.09481487524301)",1.91211448387,POINT (105.7589157483263 20.09483150016388),POINT (105.7589108779074 20.09481487524301)
2161,"LINESTRING (105.7591651712616 20.11117321838178, 105.7591772601162 20.11119363675696, 105.7592321860018 20.11126920062561)","LINESTRING (105.7591651712616 20.11117321838178, 105.7591772601162 20.11119363675696, 105.7592321860018 20.11126920062561)",12.73323557,POINT (105.7591651712616 20.11117321838178),POINT (105.7592321860018 20.11126920062561)
2165,"LINESTRING (105.759685302177 20.09502780433938, 105.7596797634545 20.09503328560743)","LINESTRING (105.759685302177 20.09502780433938, 105.7596797634545 20.09503328560743)",0.838633346692,POINT (105.759685302177 20.09502780433938),POINT (105.7596797634545 20.09503328560743)
2166,"LINESTRING (105.7598009343849 20.08023483416464, 105.7598000341587 20.08023362093162)","LINESTRING (105.7598009343849 20.08023483416464, 105.7598000341587 20.08023362093162)",0.163975535222,POINT (105.7598009343849 20.08023483416464),POINT (105.7598000341587 20.08023362093162)
2169,"LINESTRING (105.7602374935252 20.0956706570504, 105.7602413840154 20.09566872708986)","LINESTRING (105.7602374935252 20.0956706570504, 105.7602413840154 20.09566872708986)",0.459419581661,POINT (105.7602374935252 20.0956706570504),POINT (105.7602413840154 20.09566872708986)
2171,"LINESTRING (105.7603367994549 20.12544475156429, 105.7603419839024 20.12541853318337, 105.7603426400333 20.12540974360788, 105.7603431920936 20.12540700357759, 105.7603435811217 20.12540584661754)","LINESTRING (105.7603367994549 20.12544475156429, 105.7603419839024 20.12541853318337, 105.7603426400333 20.12540974360788, 105.7603431920936 20.12540700357759, 105.7603435811217 20.12540584661754)",4.36995286212,POINT (105.7603367994549 20.12544475156429),POINT (105.7603435811217 20.12540584661754)
