,Junction,points
485,POINT (105.6978363933515 20.1250619894776),3.0
486,POINT (105.549942877484 20.28367259391013),3.0
487,POINT (105.7506204960247 20.12990558573578),3.0
488,POINT (105.6501312975167 20.17243167092956),3.0
489,POINT (105.7359254586835 20.11241514647265),3.0
490,POINT (105.7200955648239 20.12789768400085),3.0
491,POINT (105.7751223963541 20.1170581864702),3.0
492,POINT (105.7730857188772 20.09692397492628),3.0
493,POINT (105.7622455571559 20.09717247477797),3.0
494,POINT (105.7785331996847 20.10462237333361),3.0
495,POINT (105.7058465134085 20.11989984648238),3.0
496,POINT (105.7453669076085 20.12335642348675),3.0
497,POINT (105.7058250229007 20.19254932238213),3.0
498,POINT (105.5862233741064 20.28335898646854),3.0
499,POINT (105.7058249696024 20.19254956158094),3.0
500,POINT (105.7785064377023 20.09846120172977),3.0
501,POINT (105.7686253687092 20.08946112422945),3.0
502,POINT (105.6702275560901 20.17652653635134),3.0
503,POINT (105.6162641842773 20.20909316341649),3.0
504,POINT (105.8455775262777 20.04597906806565),3.0
505,POINT (105.6811745288338 20.09223601694308),3.0
506,POINT (105.7408447440724 20.06880349449498),3.0
507,POINT (105.7533433778748 20.12620252611504),3.0
508,POINT (105.7552581404555 20.15893293881427),3.0
509,POINT (105.6555049922317 20.16295231342732),3.0
510,POINT (105.6543873052858 20.13223829678365),3.0
511,POINT (105.7408874854569 20.16008434302291),3.0
512,POINT (105.7545909220731 20.09310199336931),3.0
513,POINT (105.750857214284 20.12901462170706),3.0
514,POINT (105.6162838780595 20.26836643406352),3.0
515,POINT (105.6993289515978 20.19919395204202),3.0
516,POINT (105.689895385458 20.13881053815267),3.0
517,POINT (105.6310703910326 20.21434801511747),3.0
518,POINT (105.6714985562263 20.17587085871556),3.0
519,POINT (105.6203248739081 20.21065495464044),3.0
520,POINT (105.7671250021581 20.08742757361395),3.0
521,POINT (105.682197748083 20.12590259306257),3.0
522,POINT (105.6613164319223 20.16288383720157),3.0
523,POINT (105.6337132250497 20.0985831210155),3.0
524,POINT (105.6896291526309 20.13962807076035),3.0
525,POINT (105.6811744606302 20.09223591813069),3.0
526,POINT (105.7105313720422 20.12260872796856),3.0
527,POINT (105.7269122697196 20.14615679119478),3.0
528,POINT (105.7415638446898 20.12208506364649),3.0
529,POINT (105.6769172873495 20.08436381161674),3.0
530,POINT (105.7619527905444 20.07979178410792),3.0
531,POINT (105.7503379738853 20.12403142097749),3.0
532,POINT (105.7473768783812 20.12483670366053),3.0
533,POINT (105.749829482277 20.13058907427457),3.0
534,POINT (105.7503126112238 20.12402590087831),3.0
535,POINT (105.6736832959957 20.12500003738085),3.0
536,POINT (105.691633097068 20.12608647638904),3.0
537,POINT (105.7016110572842 20.06615157114935),3.0
538,POINT (105.6903801783361 20.12759764701502),3.0
